frame_etg frame_gar X Y event_type code
0 0 509.16 368.36 Fixation 1124227934
0 0 508.81 365.82 Fixation 1124244690
1 1 508.04 365.37 Fixation 1124261300
1 1 508.62 366.19 Fixation 1124277820
2 2 506.19 366.28 Fixation 1124294529
2 2 505.73 365.47 Fixation 1124311088
3 3 505.13 366.17 Fixation 1124327565
3 3 505.13 365.40 Fixation 1124344180
4 3 506.18 367.68 Fixation 1124360874
4 3 508.86 377.22 Fixation 1124377484
5 4 518.07 385.27 Fixation 1124394102
5 4 518.18 386.00 Saccade 1124410578
6 5 514.23 372.26 Saccade 1124427082
6 5 514.60 378.44 Fixation 1124443756
7 6 513.76 380.05 Fixation 1124460427
7 6 511.81 383.37 Fixation 1124477008
7 6 512.60 381.43 Fixation 1124493585
8 7 512.64 383.62 Fixation 1124510158
9 8 510.37 384.88 Fixation 1124526678
9 8 511.01 385.33 Fixation 1124543353
10 8 510.32 385.94 Fixation 1124560217
10 8 510.20 385.85 Fixation 1124576542
11 9 510.35 386.53 Fixation 1124593207
11 9 510.48 386.74 Saccade 1124609798
12 10 504.10 384.12 Saccade 1124626201
12 10 494.56 384.39 Saccade 1124642856
13 11 494.59 383.99 Fixation 1124659642
13 11 494.95 383.96 Fixation 1124676226
14 12 494.69 383.73 Fixation 1124692703
14 12 494.31 384.27 Fixation 1124709323
15 13 494.27 383.78 Fixation 1124725883
15 13 493.98 383.87 Fixation 1124742602
16 13 493.92 383.19 Fixation 1124759228
16 13 494.35 383.36 Fixation 1124775723
17 14 494.84 383.14 Fixation 1124792308
17 14 494.83 382.76 Fixation 1124808931
18 15 494.83 383.06 Fixation 1124825441
18 15 494.33 382.77 Fixation 1124841983
19 16 493.50 382.13 Fixation 1124859369
19 16 494.29 382.34 Fixation 1124875323
20 17 494.01 381.68 Fixation 1124891936
20 17 494.24 382.41 Fixation 1124908474
21 18 493.73 381.36 Fixation 1124925020
21 18 493.86 382.24 Fixation 1124941660
22 18 493.83 380.95 Fixation 1124958386
22 18 493.75 379.58 Fixation 1124974809
22 18 493.77 379.76 Saccade 1124991502
23 19 497.85 373.30 Saccade 1125008081
24 20 517.13 337.00 Saccade 1125024711
24 20 521.83 317.46 Saccade 1125041437
25 21 522.81 314.93 Fixation 1125057831
25 21 523.23 312.25 Fixation 1125074441
26 22 522.77 310.37 Fixation 1125091126
26 22 523.77 309.46 Fixation 1125107611
27 23 522.34 308.78 Fixation 1125124147
27 23 522.47 306.76 Fixation 1125140859
28 23 521.36 306.34 Fixation 1125157423
28 23 521.82 305.56 Fixation 1125174191
29 24 519.10 302.97 Fixation 1125190589
29 24 520.61 300.95 Fixation 1125207178
30 25 519.75 298.80 Fixation 1125223720
30 25 519.03 298.40 Fixation 1125240484
31 26 518.78 297.42 Fixation 1125257077
31 26 518.53 296.46 Fixation 1125273555
32 27 518.57 296.67 Fixation 1125290175
32 27 518.36 294.48 Fixation 1125306826
33 28 517.80 292.21 Fixation 1125323330
33 28 517.87 290.02 Fixation 1125339819
34 28 518.66 290.96 Fixation 1125357136
34 28 519.80 289.53 Fixation 1125373048
35 29 520.41 287.78 Fixation 1125389670
35 29 523.79 286.77 Fixation 1125406176
36 30 524.55 284.51 Fixation 1125422797
36 30 525.12 284.07 Fixation 1125439420
37 31 525.92 282.28 Fixation 1125456029
37 31 527.02 282.13 Fixation 1125472563
37 31 528.00 281.68 Fixation 1125489207
38 32 527.03 281.90 Fixation 1125505795
39 33 527.87 281.48 Fixation 1125522425
39 33 528.03 281.87 Fixation 1125539035
40 33 525.26 285.61 Fixation 1125555566
40 33 526.25 284.13 Saccade 1125572167
41 34 513.05 285.30 Saccade 1125588797
41 34 446.91 276.54 Saccade 1125605369
42 35 384.10 279.43 Saccade 1125621975
42 35 372.27 275.43 Saccade 1125638561
43 36 369.92 276.96 Fixation 1125655154
43 36 369.41 276.90 Fixation 1125671735
44 37 368.97 276.89 Fixation 1125688317
44 37 368.56 276.76 Fixation 1125704917
45 38 369.45 275.66 Fixation 1125721675
45 38 368.03 276.86 Fixation 1125738275
46 38 367.53 277.70 Fixation 1125754850
46 38 366.58 276.45 Fixation 1125771447
47 39 366.96 277.06 Saccade 1125788066
47 39 357.95 274.45 Saccade 1125804643
48 40 351.93 275.24 Saccade 1125821353
